Region/Category,Recipe Display Name,Required Filename
Base Recipes,Chicken Biryani,chicken-biryani.jpg
Base Recipes,Butter Chicken,butter-chicken.jpg
Base Recipes,Paneer Tikka Masala,paneer-tikka-masala.jpg
Base Recipes,Chole Bhature,chole-bhature.jpg
Base Recipes,Sambar,sambar.jpg
Base Recipes,Masala Dosa,masala-dosa.jpg
Base Recipes,Dal Makhani,dal-makhani.jpg
Base Recipes,Rajma Chawal,rajma-chawal.jpg
Base Recipes,Palak Paneer,palak-paneer.jpg
Rajasthan,Laal Maas,laal-maas.jpg
Rajasthan,Moong Dal Halwa,moong-dal-halwa.jpg
Rajasthan,Moong Dal Kachori,kachori.jpg
Rajasthan,Dal Baati Churma,dal-baati-churma.jpg
Rajasthan,Gatte Ki Sabzi,gatte-ki-sabzi.jpg
Rajasthan,Ker Sangri,ker-sangri.jpg
Rajasthan,Bajre Ki Roti,bajre-ki-roti.jpg
Rajasthan,Pyaaz Kachori,pyaaz-kachori.jpg
Rajasthan,Rajasthani Kadhi,rajasthani-kadhi.jpg
Rajasthan,Mirchi Bada,mirchi-bada.jpg
Rajasthan,Papad Ki Sabzi,papad-ki-sabzi.jpg
Rajasthan,Rajasthani Besan Chilla,rajasthani-besan-chilla.jpg
Rajasthan,Malpua,malpua.jpg
Rajasthan,Ghevar,ghevar.jpg
Rajasthan,Rajasthani Pulao,rajasthani-pulao.jpg
Rajasthan,Chana Dal Halwa (Rajasthani Style),chana-dal-halwa.jpg
Rajasthan,Safed Maas,safed-maas.jpg
Rajasthan,Jungli Maas,jungli-maas.jpg
Rajasthan,Rajasthani Chicken Curry,rajasthani-chicken-curry.jpg
Rajasthan,Mutton Khaad Khargosh Style,mutton-khaad.jpg
Rajasthan,Achar Gosht,achar-gosht.jpg
Rajasthan,Rajasthani Mutton Curry,rajasthani-mutton-curry.jpg
Rajasthan,Khad Kukkad (Chicken in Clay Pot),khad-kukkad.jpg
Rajasthan,Mutton Soweta,mutton-soweta.jpg
Rajasthan,Chicken Achari,chicken-achari-rajasthani.jpg
Rajasthan,Rajasthani Fish Curry,rajasthani-fish-curry.jpg
Rajasthan,Bater (Quail) Curry,bater-curry.jpg
Rajasthan,Mutton Handi,mutton-handi.jpg
Rajasthan,Chicken Rassa (Rajasthani Style),chicken-rassa-rajasthani.jpg
Rajasthan,Egg Curry (Rajasthani Style),egg-curry-rajasthani.jpg
Tamil Nadu,Vatha Kuzhambu,vatha-kuzhambu.jpg
Tamil Nadu,Mixed Vegetable Poriyal,veg-poriyal.jpg
Tamil Nadu,Adai,adai-dosai.jpg
Tamil Nadu,Paruppu Sadam,paruppu-sadam.jpg
Tamil Nadu,Semiya Payasam,semiya-payasam.jpg
Tamil Nadu,Idiyappam,idiyappam.jpg
Tamil Nadu,Kothamalli Thogayal,kothamalli-thogayal.jpg
Tamil Nadu,Ellu Sadam (Sesame Rice),ellu-sadam.jpg
Tamil Nadu,Thengai Sadam (Coconut Rice),thengai-sadam.jpg
Tamil Nadu,Puliyodarai (Tamarind Rice),puliyodarai.jpg
Tamil Nadu,Vazhakkai Poriyal,vazhakkai-poriyal.jpg
Tamil Nadu,Keerai Masiyal,keerai-masiyal.jpg
Tamil Nadu,Mor Kuzhambu,mor-kuzhambu.jpg
Tamil Nadu,Sevai,sevai-breakfast.jpg
Tamil Nadu,Milagu Kuzhambu,milagu-kuzhambu-veg.jpg
Tamil Nadu,Vengaya Sambar,vengaya-sambar.jpg
Tamil Nadu,Kootu,kootu-stew.jpg
Tamil Nadu,Rava Kesari,rava-kesari.jpg
Tamil Nadu,Sakkarai Pongal,sakkarai-pongal.jpg
Tamil Nadu,Kadamba Sadam,kadamba-sadam.jpg
